[['42.765198', '2.164908', '0.000000'], ['41.651252', '1.989950', '0.000000']]
[['41.651252', '1.989950', '0.000000'], ['40.540024', '1.798484', '0.000000']]
[['40.540024', '1.798484', '0.000000'], ['39.431759', '1.590552', '0.000000']]
[['39.431759', '1.590552', '0.000000'], ['38.326700', '1.366201', '0.000000']]
[['38.326700', '1.366201', '0.000000'], ['37.225092', '1.125479', '0.000000']]
[['37.225092', '1.125479', '0.000000'], ['36.127177', '0.868440', '0.000000']]
[['36.127177', '0.868440', '0.000000'], ['35.033196', '0.595139', '0.000000']]
[['35.033196', '0.595139', '0.000000'], ['33.943391', '0.305638', '0.000000']]
[['33.943391', '0.305638', '0.000000'], ['32.858000', '0.000000', '0.000000']]
[['32.858000', '0.000000', '0.000000'], ['0.000000', '0.000000', '0.000000']]
[['0.500000', '0.500000', '0.000000'], ['0.500000', '9.500000', '0.000000']]
[['0.500000', '9.500000', '0.000000'], ['0.500000', '18.500000', '0.000000']]
[['0.500000', '18.500000', '0.000000'], ['32.788945', '18.500000', '0.000000']]
[['32.788945', '18.500000', '0.000000'], ['33.811435', '18.212074', '0.000000']]
[['33.811435', '18.212074', '0.000000'], ['34.908411', '17.920668', '0.000000']]
[['34.908411', '17.920668', '0.000000'], ['36.009589', '17.645570', '0.000000']]
[['36.009589', '17.645570', '0.000000'], ['37.114728', '17.386839', '0.000000']]
[['37.114728', '17.386839', '0.000000'], ['38.223584', '17.144534', '0.000000']]
[['38.223584', '17.144534', '0.000000'], ['39.335912', '16.918706', '0.000000']]
[['39.335912', '16.918706', '0.000000'], ['40.451469', '16.709407', '0.000000']]
[['40.451469', '16.709407', '0.000000'], ['41.570008', '16.516681', '0.000000']]
[['41.570008', '16.516681', '0.000000'], ['42.691283', '16.340572', '0.000000']]
[['42.691283', '16.340572', '0.000000'], ['43.815048', '16.181118', '0.000000']]
[['43.815048', '16.181118', '0.000000'], ['44.941055', '16.038354', '0.000000']]
[['44.941055', '16.038354', '0.000000'], ['46.069056', '15.912312', '0.000000']]
[['46.069056', '15.912312', '0.000000'], ['47.198803', '15.803019', '0.000000']]
[['47.198803', '15.803019', '0.000000'], ['48.330047', '15.710500', '0.000000']]
[['48.330047', '15.710500', '0.000000'], ['49.462539', '15.634775', '0.000000']]
[['49.462539', '15.634775', '0.000000'], ['50.596030', '15.575860', '0.000000']]
[['50.596030', '15.575860', '0.000000'], ['51.730270', '15.533769', '0.000000']]
[['51.730270', '15.533769', '0.000000'], ['52.864987', '15.508511', '0.000000']]
[['52.864987', '15.508511', '0.000000'], ['53.998122', '15.500000', '0.000000']]
[['53.998122', '15.500000', '0.000000'], ['82.500000', '15.500000', '0.000000']]
[['82.500000', '15.500000', '0.000000'], ['111.001878', '15.500000', '0.000000']]
[['111.001878', '15.500000', '0.000000'], ['112.135013', '15.508511', '0.000000']]
[['112.135013', '15.508511', '0.000000'], ['113.269730', '15.533769', '0.000000']]
[['113.269730', '15.533769', '0.000000'], ['114.403970', '15.575860', '0.000000']]
[['114.403970', '15.575860', '0.000000'], ['115.537461', '15.634775', '0.000000']]
[['115.537461', '15.634775', '0.000000'], ['116.669953', '15.710500', '0.000000']]
[['116.669953', '15.710500', '0.000000'], ['117.801197', '15.803019', '0.000000']]
[['117.801197', '15.803019', '0.000000'], ['118.930944', '15.912312', '0.000000']]
[['118.930944', '15.912312', '0.000000'], ['120.058945', '16.038354', '0.000000']]
[['120.058945', '16.038354', '0.000000'], ['121.184952', '16.181118', '0.000000']]
